"Id","cip_category","total_deflated_dollar_2010","citations","y_05","cd"
"719","Biology",NA,2210,"1995",1
"720","Biology",NA,2890,"1995",1
"721","Biology",NA,673,"2000",1
"722","Technology",NA,1742,"2000",1
"723","Biology",24648742,2174,"2000",1
"724","Biology",NA,2193,"2000",0
"725","Medical",NA,1448,"2000",1
"726","Biology",NA,5610,"1995",0
"727","Biology",NA,1378,"2000",1
"728","Biology",NA,710,"1995",0
"729","Medical",NA,1330,"1995",0
"730","Biology",NA,7392,"2000",1
"731","Biology",NA,5088,"2000",1
"732","Medical",NA,3640,"1990",1
"733","Medical",NA,6431,"1990",1
"734","Biology",NA,5052,"1995",1
"735","Medical",NA,3216,"1995",1
"736","Biology",NA,1915,"1995",0
