"Id","dept_rank","cip_category","total_deflated_dollar_2010","citations","y_05","cd"
"557",43,"Medical",2699956,2957,"1995",1
"558",NA,"Biology",15871677,37678,"1980",1
"559",3,"Medical",NA,2046,"2005",1
"560",NA,"Biology",470644,663,"2005",1
"561",NA,"Medical",NA,2035,"2005",1
"562",NA,"Medical",NA,859,"2000",1
"563",62,"Biology",12733271,2761,"1965",1
"564",1,"Technology",7359415,3338,"2000",1
"565",16,"Biology",8677111,16104,"1960",1
"566",23,"Biology",14981707,10712,"1995",1
"567",78,"Medical",NA,263,"2005",0
"568",178,"Biology",1118923,11791,"1990",1
"569",52,"Medical",NA,8806,"1970",1
"570",26,"Biology",1962068,4705,"1990",1
"571",NA,"Medical",NA,1714,"2000",1
"572",NA,"Medical",3366851,4518,"2000",1
"573",50,"Medical",1209464,1345,"1995",1
"574",NA,"Biology",NA,22239,"1985",1
"575",8,"Medical",1531001,4983,"1995",1
"576",3,"Biology",8453554,13722,"2000",1
"577",24,"Medical",NA,6377,"2000",1
"578",27,"Medical",NA,13658,"1990",1
"579",46,"Medical",NA,2020,"2005",1
"580",NA,"Biology",NA,2749,"1980",1
"581",16,"Medical",NA,607,"2005",1
"582",27,"Biology",NA,649,"2000",1
"583",NA,"Biology",NA,1366,"2005",0
"584",90,"Biology",9735149,4279,"1995",1
"585",16,"Medical",2326512,986,"1995",1
"586",52,"Medical",NA,5849,"1995",1
"587",NA,"Biology",NA,365,"2010",1
"588",169,"Biology",622699,1625,"2010",1
"589",39,"Biology",NA,2803,"2005",1
"590",NA,"Biology",NA,592,"1985",1
"591",NA,"Biology",NA,2374,"2000",1
"592",NA,"Medical",NA,896,"2010",1
"593",46,"Biology",NA,1206,"2000",0
"594",NA,"Biology",7254804,10053,"1990",1
"595",13,"Biology",1038545,548,"2005",1
"596",67,"Medical",NA,3589,"2010",1
"597",22,"Biology",NA,401,"2005",1
"598",NA,"Biology",NA,3326,"2000",1
"599",NA,"Biology",NA,256,"1995",0
"600",NA,"Biology",NA,976,"2005",0
"601",NA,"Biology",22917579,14486,"1980",1
"602",NA,"Medical",NA,15581,"1980",1
"603",23,"Biology",78514513,34988,"1985",1
"604",19,"Medical",NA,68403,"1960",1
"605",23,"Biology",12548611,12295,"1980",1
"606",26,"Biology",NA,57855,"1970",1
"607",24,"Technology",1027812,57232,"1970",1
"608",NA,"Biology",353401,38362,"1985",1
"609",NA,"Biology",47923832,29273,"1975",1
"610",1,"Biology",11028893,29441,"1975",1
"611",NA,"Biology",NA,105735,"1980",1
"612",NA,"Biology",NA,2690,"2010",1
"613",376,"Biology",NA,749,"2005",1
"614",22,"Biology",14793348,41315,"1970",1
"615",13,"Medical",NA,16546,"1985",1
"616",NA,"Medical",1818993,18122,"1965",1
"617",NA,"Biology",358683,132319,"1970",1
"618",100,"Medical",NA,82665,"1985",1
"619",60,"Medical",NA,54705,"1990",1
