Id,Label,timeset,dept_rank,cip_category,total_deflated_dollar_2010,citations,y_05,cd,pageranks
355,,,84,Medical,NA,1334,2005,1,0.00013
356,,,52,Medical,NA,742,2005,1,0.00013
357,,,8,Medical,129745,2972,2005,1,0.00013
358,,,57,Biology,NA,432,2005,1,0.00013
359,,,2,Medical,NA,3784,2005,1,0.00013
360,,,8,Medical,NA,902,2010,1,0.000331
361,,,43,Medical,NA,310,2005,1,0.00013
362,,,NA,Medical,NA,526,2005,1,0.00013
363,,,38,Medical,NA,1787,2005,1,0.00013
364,,,NA,Medical,NA,952,2005,1,0.00013
365,,,60,Biology,NA,1353,2005,1,0.00013
366,,,NA,Biology,NA,1796,2000,0,0.00013
367,,,1,Technology,NA,1031,2005,1,0.00013
368,,,NA,Biology,NA,426,2005,1,0.00013
369,,,123,Biology,437402,1420,2000,1,0.00013
370,,,22,Biology,NA,1001,2005,1,0.00013
371,,,2,Biology,NA,8262,1980,1,0.00013
372,,,150,Medical,NA,318,2005,1,0.00013
373,,,NA,Biology,365259,778,1995,0,0.00013
374,,,48,Biology,NA,1919,2005,1,0.00013
375,,,3,Medical,NA,2149,2005,0,0.00013
376,,,18,Biology,NA,1409,2005,1,0.00013
377,,,NA,Biology,525059,64916,1965,1,0.00013
378,,,13,Biology,NA,7431,1975,1,0.00013
379,,,NA,Biology,NA,10480,1975,1,0.00013
380,,,NA,Medical,NA,16470,1970,1,0.000331
381,,,62,Biology,2739596,6693,1975,1,0.00013
382,,,70,Medical,NA,730,2005,1,0.00013
383,,,NA,Biology,NA,326,2005,1,0.00013
384,,,64,Biology,NA,770,2005,1,0.00013
385,,,17,Biology,1347093,11023,1985,1,0.00013
386,,,2,Medical,NA,10638,1975,0,0.00013
387,,,NA,Biology,NA,660,2000,1,0.00013
388,,,12,Medical,NA,794,2005,0,0.00013
389,,,9,Biology,NA,1370,2005,1,0.000331
390,,,16,Medical,129491,1280,2005,1,0.00013
391,,,27,Biology,NA,1617,2010,1,0.000331
392,,,NA,Biology,NA,2115,2005,1,0.00013
393,,,9,Medical,NA,3859,2000,1,0.00013
394,,,NA,Biology,5022098,3091,2000,1,0.000331
395,,,NA,Medical,NA,810,1995,1,0.00013
396,,,217,Biology,NA,572,2005,0,0.00013
397,,,NA,Medical,NA,16554,1990,1,0.00013
398,,,NA,Medical,NA,2658,2005,1,0.00013
399,,,21,Medical,NA,363,2005,1,0.00013
400,,,NA,Biology,NA,914,2000,1,0.00013
401,,,93,Biology,NA,319,2005,1,0.00013
402,,,NA,Biology,NA,7659,1985,1,0.00013
403,,,9,Medical,NA,355,2005,0,0.00013
404,,,140,Biology,NA,660,2005,1,0.00013
405,,,2,Biology,NA,39326,1985,1,0.000361
406,,,NA,Biology,NA,1169,2005,0,0.00013
407,,,96,Biology,413676,349,2005,1,0.00013
408,,,27,Biology,NA,349,1995,1,0.00013
409,,,NA,Biology,NA,654,2005,1,0.00013
410,,,7,Biology,NA,1359,2005,1,0.00013
411,,,2,Biology,NA,1202,2005,1,0.00013
412,,,NA,Medical,NA,636,2005,1,0.00013
413,,,NA,Biology,NA,1573,2005,1,0.00013
414,,,NA,Biology,NA,724,2005,1,0.000409
415,,,10,Technology,NA,801,2005,1,0.00013
416,,,27,Medical,NA,3259,1990,1,0.000399
417,,,NA,Medical,NA,11191,1990,1,0.00013
418,,,47,Biology,NA,1240,2005,1,0.00013
419,,,30,Medical,119424,474,2005,1,0.00013
420,,,90,Biology,1646842,54453,1970,1,0.000679
421,,,163,Biology,4061797,26659,1975,1,0.00013
422,,,46,Biology,4194323,21956,1965,0,0.00013
423,,,3,Medical,22321,706,2005,0,0.00013
424,,,16,Biology,8795916,2721,1980,1,0.00013
425,,,NA,Medical,NA,958,2005,1,0.00013
426,,,NA,Biology,NA,833,2005,1,0.00013
427,,,159,Biology,NA,245,2005,1,0.00013
428,,,NA,Biology,NA,5781,2005,1,0.00013
429,,,33,Biology,2937944,17225,1975,1,0.000635
430,,,12,Biology,NA,1500,2005,1,0.00013
431,,,NA,Biology,1479275,3316,1995,1,0.000409
432,,,51,Biology,2810766,514,2005,1,0.00013
433,,,NA,Biology,NA,2172,2005,1,0.00013
434,,,8,Biology,848590,3098,1980,1,0.000318
435,,,3,Medical,NA,461,2000,1,0.00013
436,,,NA,Biology,3700192,23854,1965,1,0.00013
437,,,NA,Biology,NA,8162,2000,1,0.00013
438,,,26,Biology,NA,1530,2005,1,0.000399
439,,,12,Medical,5797735,9867,1985,1,0.00013
440,,,NA,Biology,NA,5913,2005,1,0.00013
441,,,NA,Biology,91412,47789,1980,1,0.00013
442,,,NA,Medical,NA,5544,1980,0,0.00013
443,,,16,Medical,NA,17238,1980,1,0.000714
444,,,78,Medical,NA,614,2005,1,0.00013
445,,,6,Biology,NA,663,2005,1,0.00013
446,,,103,Biology,NA,997,2005,1,0.00013
447,,,16,Medical,NA,1895,2005,1,0.00013
448,,,190,Biology,352162,1043,1995,1,0.00013
449,,,7,Biology,764092,710,2005,1,0.00013
450,,,NA,Biology,NA,829,2005,1,0.00013
451,,,13,Biology,931946,1566,1995,1,0.00013
452,,,13,Biology,NA,1412,2005,1,0.00013
453,,,146,Biology,NA,1999,2005,1,0.00013
454,,,78,Medical,NA,469,2000,1,0.00013
455,,,NA,Biology,3825713,20481,1995,1,0.00013
456,,,NA,Medical,NA,26367,1990,1,0.000482
457,,,NA,Biology,NA,15070,1985,1,0.000611
458,,,1,Biology,NA,25167,1985,1,0.00013
459,,,NA,Medical,11217,15223,1985,1,0.00013
460,,,1,Medical,NA,9665,1985,1,0.000377
461,,,NA,Technology,1585763,16197,1985,1,0.00013
462,,,NA,Biology,47917688,14849,1985,1,0.000409
463,,,NA,Biology,NA,6777,1975,1,0.00013
464,,,51,Biology,27095269,6428,1990,1,0.00013
